Idade;Campo de Experiência;OBJETIVOS DE APRENDIZAGEM E DESENVOLVIMENTO
Crianças pequenas (4 anos a 5 anos e 11 meses);Corpo, Gestos e Movimento;(EI03CG01) Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro, música.
Crianças pequenas (4 anos a 5 anos e 11 meses);Corpo, Gestos e Movimento;(EI03CG02) Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.
Crianças pequenas (4 anos a 5 anos e 11 meses);Corpo, Gestos e Movimento;(EI03CG04) Adotar hábitos de autocuidado relacionados a higiene, alimentação, conforto e aparência.
Crianças pequenas (4 anos a 5 anos e 11 meses);Corpo, Gestos e Movimento;(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.
Crianças pequenas (4 anos a 5 anos e 11 meses);Corpo, Gestos e Movimento;(EI03CG05) Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Corpo, Gestos e Movimento;(EI02CG05) Desenvolver progressivamente as habilidades manuais, adquirindo controle para desenhar, pintar, rasgar, folhear, entre outros.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Corpo, Gestos e Movimento;(EI02CG01) Apropriar-se de gestos e movimentos de sua cultura no cuidado de si e nos jogos e brincadeiras.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Corpo, Gestos e Movimento;(EI02CG02) Deslocar seu corpo no espaço, orientando-se por noções como em frente, atrás, no alto, embaixo, dentro, fora etc., ao se envolver em brincadeiras e atividades de diferentes naturezas.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Corpo, Gestos e Movimento;(EI02CG03) Explorar formas de deslocamento no espaço (pular, saltar, dançar), combinando movimentos e seguindo orientações.
Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses);Corpo, Gestos e Movimento;(EI02CG04) Demonstrar progressiva independência no cuidado do seu corpo.
Bebês (zero a 1 ano e 6 meses);Corpo, Gestos e Movimento;(EI01CG01) Movimentar as partes do corpo para exprimir corporalmente emoções, necessidades e desejos.
Bebês (zero a 1 ano e 6 meses);Corpo, Gestos e Movimento;(EI01CG02) Experimentar as possibilidades corporais nas brincadeiras e interações em ambientes acolhedores e desafiantes.
Bebês (zero a 1 ano e 6 meses);Corpo, Gestos e Movimento;(EI01CG03) Imitar gestos e movimentos de outras crianças, adultos e animais.
Bebês (zero a 1 ano e 6 meses);Corpo, Gestos e Movimento;(EI01CG04) Participar do cuidado do seu corpo e da promoção do seu bem-estar.
Bebês (zero a 1 ano e 6 meses);Corpo, Gestos e Movimento;(EI01CG05) Utilizar os movimentos de preensão, encaixe e lançamento, ampliando suas possibilidades de manuseio de diferentes materiais e objetos.
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF01) Reconhecer quando é chamado por seu nome e reconhecer os nomes de pessoas com quem convive.
Bebês (zero a 1 ano e 6 meses);Escuta, Fala, Pensamento e Imaginação;(EI01EF02) Demonstrar interesse ao ouvir a leitura de poemas e a apresentação de músicas.
